,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0,0022401079,1610612754,IND,Indiana,1630174,Aaron Nesmith,Aaron,F,,22.000000:06,3,8,0.375,1,3,0.333,0,0,0,2,2,4,0,1,1,0,4,7,-7
1,0022401079,1610612754,IND,Indiana,1627783,Pascal Siakam,Pascal,F,,27.000000:08,4,11,0.364,1,5,0.2,2,4,0.5,2,7,9,1,0,1,2,1,11,-22
2,0022401079,1610612754,IND,Indiana,1626167,Myles Turner,Myles,C,,20.000000:08,2,6,0.333,0,1,0,7,10,0.7,2,3,5,1,0,0,3,0,11,-1
3,0022401079,1610612754,IND,Indiana,1629614,Andrew Nembhard,Andrew,G,,30.000000:04,6,13,0.462,1,4,0.25,3,4,0.75,0,5,5,7,0,0,1,4,16,-15
4,0022401079,1610612754,IND,Indiana,1630169,Tyrese Haliburton,Tyrese,G,,28.000000:40,6,12,0.5,4,9,0.444,2,2,1,1,3,4,3,2,0,0,1,18,-19
5,0022401079,1610612754,IND,Indiana,1630167,Obi Toppin,Obi,,,22.000000:09,5,9,0.556,2,6,0.333,0,0,0,1,2,3,5,0,2,2,2,12,-14
6,0022401079,1610612754,IND,Indiana,1641716,Jarace Walker,Jarace,,,26.000000:43,3,8,0.375,2,5,0.4,2,2,1,0,4,4,4,1,0,1,2,10,-12
7,0022401079,1610612754,IND,Indiana,204456,T.J. McConnell,T.J.,,,12.000000:52,4,6,0.667,0,0,0,0,0,0,0,1,1,3,0,0,2,0,8,-11
8,0022401079,1610612754,IND,Indiana,1628418,Thomas Bryant,Thomas,,,12.000000:18,2,3,0.667,1,2,0.5,0,0,0,0,1,1,0,1,0,0,1,5,-4
9,0022401079,1610612754,IND,Indiana,1641767,Ben Sheppard,Ben,,,21.000000:51,3,8,0.375,2,6,0.333,2,2,1,0,4,4,2,0,1,0,1,10,-6
10,0022401079,1610612754,IND,Indiana,1642277,Johnny Furphy,Johnny,,,5.000000:49,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,1
11,0022401079,1610612754,IND,Indiana,1631245,Quenton Jackson,Quenton,,,5.000000:41,0,2,0,0,1,0,1,2,0.5,0,0,0,1,1,0,0,0,1,1
12,0022401079,1610612754,IND,Indiana,1628396,Tony Bradley,Tony,,,4.000000:31,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,4
13,0022401079,1610612760,OKC,Oklahoma City,1629652,Luguentz Dort,Luguentz,F,,33.000000:04,8,11,0.727,6,7,0.857,0,0,0,0,5,5,0,2,1,1,0,22,17
14,0022401079,1610612760,OKC,Oklahoma City,1631114,Jalen Williams,Jalen,F,,29.000000:14,7,14,0.5,0,2,0,4,5,0.8,0,2,2,6,0,0,2,2,18,10
15,0022401079,1610612760,OKC,Oklahoma City,1628392,Isaiah Hartenstein,Isaiah,C,,14.000000:20,2,5,0.4,0,1,0,0,0,0,0,5,5,1,0,0,1,3,4,1
16,0022401079,1610612760,OKC,Oklahoma City,1641717,Cason Wallace,Cason,G,,30.000000:18,5,10,0.5,2,4,0.5,2,2,1,1,1,2,3,2,1,1,0,14,7
17,0022401079,1610612760,OKC,Oklahoma City,1628983,Shai Gilgeous-Alexander,Shai,G,,31.000000:12,10,23,0.435,3,6,0.5,10,12,0.833,3,4,7,8,1,0,0,2,33,17
18,0022401079,1610612760,OKC,Oklahoma City,1629026,Kenrich Williams,Kenrich,,,26.000000:32,4,8,0.5,1,2,0.5,1,2,0.5,0,8,8,5,1,0,0,3,10,23
19,0022401079,1610612760,OKC,Oklahoma City,1630198,Isaiah Joe,Isaiah,,,26.000000:48,7,9,0.778,5,7,0.714,0,0,0,1,4,5,0,0,0,1,0,19,10
20,0022401079,1610612760,OKC,Oklahoma City,1627936,Alex Caruso,Alex,,,18.000000:31,3,5,0.6,0,2,0,0,0,0,1,4,5,2,0,0,2,4,6,22
21,0022401079,1610612760,OKC,Oklahoma City,1642382,Branden Carlson,Branden,,,12.000000:36,1,5,0.2,0,3,0,2,2,1,1,2,3,0,1,2,0,1,4,2
22,0022401079,1610612760,OKC,Oklahoma City,1641794,Dillon Jones,Dillon,,,12.000000:54,1,3,0.333,0,1,0,0,0,0,0,3,3,1,2,0,1,2,2,0
23,0022401079,1610612760,OKC,Oklahoma City,1641745,Adam Flagler,Adam,,,4.000000:31,0,1,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,-4
