,GAME_DATE,Heim/Auswärts,Gegner,WL,PTS,PLUS_MINUS,FG_PCT,REB,AST,STL,BLK
0,2025-04-03,Heim,MIL,L,113,-13,48.3,40,30,8,4
1,2025-04-01,Auswärts,NYK,L,91,-14,42,42,23,11,5
2,2025-03-30,Heim,TOR,L,109,-18,47.199999999999996,46,25,6,10
3,2025-03-29,Heim,MIA,L,95,-23,50,37,28,7,7
4,2025-03-26,Heim,WAS,L,114,-5,42.9,47,22,7,5
5,2025-03-24,Auswärts,NOP,L,99,-13,39.1,37,19,11,6
6,2025-03-23,Auswärts,ATL,L,119,-13,44,37,24,8,4
7,2025-03-21,Auswärts,SAS,L,120,-8,56.8,32,30,10,4
8,2025-03-19,Auswärts,OKC,L,100,-33,36.8,41,24,8,3
9,2025-03-17,Auswärts,HOU,L,137,-7,50.5,35,21,8,4
