,GAME_DATE,Heim/Auswärts,Gegner,WL,PTS,PLUS_MINUS,FG_PCT,REB,AST,STL,BLK
0,2025-04-02,Heim,SAS,L,106,-7,39.6,58,24,7,4
1,2025-04-01,Heim,MIN,L,139,-1,54.7,45,33,7,7
2,2025-03-28,Heim,UTA,W,129,36,57.8,45,38,12,13
3,2025-03-26,Heim,MIL,W,127,10,54.400000000000006,46,36,6,4
4,2025-03-24,Heim,CHI,L,119,-10,47.4,52,34,5,9
5,2025-03-23,Auswärts,HOU,W,116,5,50.6,43,28,5,4
6,2025-03-21,Auswärts,POR,L,109,-19,50,31,24,10,2
7,2025-03-19,Auswärts,LAL,L,108,-12,47.099999999999994,45,25,8,4
8,2025-03-17,Auswärts,GSW,W,114,9,46.7,53,32,12,7
9,2025-03-15,Heim,WAS,L,123,-3,50.5,42,40,12,8
