,GAME_DATE,Heim/Auswärts,Gegner,WL,PTS,PLUS_MINUS,FG_PCT,REB,AST,STL,BLK
0,2025-04-03,Auswärts,LAL,W,123,7,47.599999999999994,46,30,5,2
1,2025-04-01,Auswärts,MEM,W,134,9,42.4,49,29,11,3
2,2025-03-30,Auswärts,SAS,W,148,42,57.699999999999996,44,42,17,3
3,2025-03-28,Auswärts,NOP,W,111,16,41.3,50,29,10,1
4,2025-03-25,Auswärts,MIA,L,86,-26,39.800000000000004,38,20,8,1
5,2025-03-22,Auswärts,ATL,L,115,-9,46.400000000000006,38,28,8,4
6,2025-03-20,Heim,TOR,W,117,3,42.199999999999996,38,30,13,5
7,2025-03-18,Heim,MIL,W,104,11,41.6,52,25,7,6
8,2025-03-17,Heim,DEN,L,105,-9,48.8,38,24,16,10
9,2025-03-15,Heim,NYK,W,97,3,39.800000000000004,45,25,7,5
