,GAME_DATE,Heim/Auswärts,Gegner,WL,PTS,PLUS_MINUS,FG_PCT,REB,AST,STL,BLK
0,2025-04-03,Auswärts,BKN,W,105,15,50,45,27,6,10
1,2025-04-01,Auswärts,DEN,W,140,1,46.800000000000004,52,35,5,2
2,2025-03-30,Heim,DET,W,123,19,47.3,59,24,3,9
3,2025-03-28,Heim,PHX,W,124,15,52.800000000000004,43,31,12,4
4,2025-03-24,Auswärts,IND,L,103,-16,48.4,45,26,5,3
5,2025-03-21,Heim,NOP,W,134,41,53.900000000000006,36,40,14,1
6,2025-03-19,Heim,NOP,L,115,-4,45.5,40,21,7,6
7,2025-03-17,Heim,IND,L,130,-2,45.4,44,25,11,7
8,2025-03-16,Heim,UTA,W,128,26,49.5,49,30,14,6
9,2025-03-14,Heim,ORL,W,118,7,52.5,45,26,8,6
