,GAME_DATE,Heim/Auswärts,Gegner,WL,PTS,PLUS_MINUS,FG_PCT,REB,AST,STL,BLK
0,2025-04-04T00:00:00.000,Auswärts,TOR,,103,12.4,44.7,43,27,11,7
1,2025-04-02T00:00:00.000,Auswärts,OKC,L,103,-16,40.400000000000006,43,20,5,7
2,2025-03-30T00:00:00.000,Auswärts,MIN,L,104,-19,35.8,44,22,3,3
3,2025-03-28T00:00:00.000,Heim,CLE,W,133,11,47.8,43,25,8,5
4,2025-03-25T00:00:00.000,Heim,SAS,W,122,26,56.39999999999999,44,33,6,5
5,2025-03-23T00:00:00.000,Heim,NOP,W,136,6,54.7,32,26,6,2
6,2025-03-21T00:00:00.000,Auswärts,DAL,L,117,-6,46.9,41,24,14,5
7,2025-03-19T00:00:00.000,Auswärts,MIA,W,116,3,50.5,47,25,4,10
8,2025-03-17T00:00:00.000,Auswärts,NOP,W,127,46,54.800000000000004,50,33,10,7
9,2025-03-15T00:00:00.000,Heim,OKC,L,107,-6,47.699999999999996,39,29,8,3
